make,model,model_year,range_mi,recharge_time,vehicle_class
Mitsubishi,i-MiEV,2012,62.129999999999995,7.0,Subcompact
Nissan,LEAF,2012,72.6921,7.0,Mid-size
Ford,Focus Electric,2013,75.7986,4.0,Compact
Mitsubishi,i-MiEV,2013,62.129999999999995,7.0,Subcompact
Nissan,LEAF,2013,72.6921,7.0,Mid-size
smart,fortwo electric drive cabriolet,2013,67.7217,8.0,Two-seater
smart,fortwo electric drive coupe,2013,67.7217,8.0,Two-seater
Tesla,Model S (40 kWh),2013,139.1712,6.0,Full-size
Tesla,Model S (60 kWh),2013,208.13549999999998,10.0,Full-size
Tesla,Model S (85 kWh),2013,264.67379999999997,12.0,Full-size
Tesla,Model S Performance,2013,264.67379999999997,12.0,Full-size
Chevrolet,Spark EV,2014,81.3903,7.0,Subcompact
Ford,Focus Electric,2014,75.7986,4.0,Compact
Mitsubishi,i-MiEV,2014,62.129999999999995,7.0,Subcompact
Nissan,LEAF,2014,83.87549999999999,5.0,Mid-size
smart,fortwo electric drive cabriolet,2014,67.7217,8.0,Two-seater
smart,fortwo electric drive coupe,2014,67.7217,8.0,Two-seater
Tesla,Model S (60 kWh),2014,208.13549999999998,10.0,Full-size
Tesla,Model S (85 kWh),2014,264.67379999999997,12.0,Full-size
Tesla,Model S Performance,2014,264.67379999999997,12.0,Full-size
BMW,i3,2015,80.76899999999999,4.0,Subcompact
Chevrolet,Spark EV,2015,81.3903,7.0,Subcompact
Ford,Focus Electric,2015,75.7986,4.0,Compact
Kia,Soul EV,2015,92.57369999999999,4.0,Station wagon: Small
Mitsubishi,i-MiEV,2015,62.129999999999995,7.0,Subcompact
Nissan,LEAF,2015,83.87549999999999,5.0,Mid-size
smart,fortwo electric drive cabriolet,2015,67.7217,8.0,Two-seater
smart,fortwo electric drive coupe,2015,67.7217,8.0,Two-seater
Tesla,Model S (60 kWh),2015,208.13549999999998,10.0,Full-size
Tesla,Model S (70 kWh),2015,234.2301,12.0,Full-size
Tesla,Model S (85/90 kWh),2015,264.67379999999997,12.0,Full-size
Tesla,Model S 70D,2015,239.8218,12.0,Full-size
Tesla,Model S 85D/90D,2015,270.2655,12.0,Full-size
Tesla,Model S P85D/P90D,2015,252.86909999999997,12.0,Full-size
BMW,i3,2016,80.76899999999999,4.0,Subcompact
Chevrolet,Spark EV,2016,81.3903,7.0,Subcompact
Ford,Focus Electric,2016,75.7986,4.0,Compact
Kia,Soul EV,2016,92.57369999999999,4.0,Station wagon: Small
Mitsubishi,i-MiEV,2016,62.129999999999995,7.0,Subcompact
Nissan,LEAF (24 kWh),2016,83.87549999999999,5.0,Mid-size
Nissan,LEAF (30 kWh),2016,106.86359999999999,6.0,Mid-size
smart,fortwo electric drive cabriolet,2016,67.7217,8.0,Two-seater
smart,fortwo electric drive coupe,2016,67.7217,8.0,Two-seater
Tesla,Model S (60 kWh pre- 6/16),2016,208.13549999999998,10.0,Full-size
Tesla,Model S (60 kWh),2016,209.99939999999998,10.0,Full-size
Tesla,Model S (70 kWh),2016,234.2301,12.0,Full-size
Tesla,Model S (75 kWh),2016,249.14129999999997,12.0,Full-size
Tesla,Model S (85/90 kWh),2016,264.67379999999997,12.0,Full-size
Tesla,Model S 60D,2016,218.07629999999997,10.0,Full-size
Tesla,Model S 70D,2016,239.8218,12.0,Full-size
Tesla,Model S 75D,2016,259.08209999999997,12.0,Full-size
Tesla,Model S 85D/90D,2016,270.2655,12.0,Full-size
Tesla,Model S 90D (Refresh),2016,293.87489999999997,12.0,Full-size
Tesla,Model S P85D/P90D,2016,252.86909999999997,12.0,Full-size
Tesla,Model S P90D (Refresh),2016,270.2655,12.0,Full-size
Tesla,Model S P100D,2016,314.9991,12.0,Full-size
