game_id,player_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
2018020066,8472410,2,553,0,0,1,3,0,0,0,4,9,0,0,0,0,0,-1,525,21,7
2018020277,8472410,2,588,0,0,0,1,0,0,0,7,13,0,1,0,0,0,0,481,107,0
2018020303,8472410,2,638,0,0,1,5,0,0,0,5,7,0,1,0,0,0,-1,562,76,0
2018020320,8472410,2,478,0,0,2,3,0,0,0,1,4,0,0,0,0,2,-1,401,77,0
2018020334,8472410,2,378,0,0,0,2,0,0,0,3,4,0,0,0,0,0,-1,337,41,0
2018020020,8471233,1,1042,0,2,3,0,0,0,0,15,21,3,1,0,0,0,2,794,185,63
2018020048,8471233,1,1087,0,0,1,0,0,0,0,7,14,2,2,0,0,1,0,751,150,186
2018020071,8471233,1,1193,0,0,1,2,0,0,0,14,18,1,0,0,0,0,0,587,191,415
2018020078,8471233,1,1274,1,0,0,0,0,0,0,12,20,0,0,0,0,0,1,615,239,420
2018020091,8471233,1,560,1,0,1,0,0,1,0,6,13,1,0,0,0,0,-1,386,38,136
2018020136,8471233,1,1201,0,0,0,1,0,0,0,11,17,3,1,0,0,1,0,952,246,3
2018020148,8471233,1,1036,1,0,0,0,0,0,0,10,23,0,0,0,0,2,-1,854,182,0
2018020172,8471233,1,929,0,1,2,2,0,0,2,10,16,1,0,0,0,1,2,810,107,12
2018020184,8471233,1,1292,2,0,1,1,0,1,0,7,19,0,0,0,0,2,1,934,209,149
2018020198,8471233,1,1182,0,0,2,1,0,0,0,11,19,1,0,0,0,0,0,758,281,143
2018020212,8471233,1,1030,0,1,4,1,0,0,0,9,14,0,0,0,0,1,1,809,123,98
2018020218,8471233,1,1024,0,1,2,2,0,0,0,7,16,1,0,0,0,0,-3,687,255,82
2018020236,8471233,1,1096,0,1,3,1,0,0,0,8,13,0,1,0,0,0,0,838,179,79
2018020257,8471233,1,1085,0,0,1,2,0,0,0,7,15,1,0,0,0,0,-1,935,26,124
2018020265,8471233,1,1377,1,1,1,0,0,0,0,13,21,1,0,0,0,0,2,1113,183,81
2018020278,8471233,1,1176,1,0,0,1,0,0,0,9,20,0,0,0,0,0,2,771,272,133
2018020292,8471233,1,1166,0,0,2,0,0,0,0,10,22,0,0,0,0,0,1,1068,98,0
2018020304,8471233,1,1241,0,0,1,3,0,0,0,10,21,0,0,0,0,1,-1,909,151,181
2018020319,8471233,1,934,0,0,0,2,0,0,2,6,11,0,0,0,0,0,0,878,56,0
2018020334,8471233,1,1203,0,0,2,2,0,0,0,7,13,0,0,0,0,0,-1,971,227,5
2018020359,8471233,1,986,0,0,1,1,0,0,0,12,17,1,0,0,0,0,-1,774,212,0
2018020363,8471233,1,1097,0,0,1,1,0,0,2,7,19,2,0,0,0,1,-1,916,181,0
2018020391,8471233,1,1014,0,1,2,0,0,0,0,9,17,0,0,1,0,0,-1,755,191,68
2018020400,8471233,1,1164,0,0,2,0,0,0,0,15,23,0,0,0,0,0,-1,1057,58,49
2018020413,8471233,1,1147,0,0,1,1,0,0,0,7,11,0,0,0,0,0,-2,747,155,245
2018020439,8471233,1,1137,1,1,2,1,0,0,0,12,21,0,0,0,0,1,2,923,65,149
2018020458,8471233,1,1222,0,0,1,0,0,0,0,8,21,1,0,0,0,0,0,1006,60,156
2018020464,8471233,1,1027,0,0,2,1,0,0,0,5,12,0,0,0,0,1,-1,856,86,85
2018020487,8471233,1,1139,1,1,3,2,1,0,2,9,12,1,0,0,0,0,0,821,81,237
2018020502,8471233,1,1261,0,0,4,0,0,0,0,15,23,0,1,0,0,0,0,792,141,328
2018020518,8471233,1,1145,0,0,1,1,0,0,0,10,15,1,0,0,0,0,-1,810,203,132
2018020535,8471233,1,1274,0,0,2,1,0,0,0,14,19,2,0,0,0,0,-1,934,219,121
2018020542,8471233,1,1194,0,0,0,1,0,0,0,8,15,3,0,0,0,0,1,745,275,174
2018020559,8471233,1,1064,0,0,0,0,0,0,2,10,14,0,1,0,0,0,-2,722,185,157
2018020567,8471233,1,1181,1,0,2,1,0,0,0,12,18,4,1,0,0,2,1,816,150,215
2018020583,8471233,1,1293,0,0,2,0,0,0,0,14,27,1,1,0,0,0,0,761,313,219
2018020600,8471233,1,1167,0,0,1,1,0,0,0,9,16,0,0,0,0,0,0,807,202,158
2018020618,8471233,1,1268,2,0,5,0,0,1,0,11,18,1,1,0,0,5,-2,907,109,252
2018020634,8471233,1,1240,1,0,3,3,0,0,2,13,18,1,0,0,0,1,0,874,195,171
2018020646,8471233,1,1155,0,0,3,2,0,0,0,11,18,1,0,0,0,0,0,850,152,153
2018020658,8471233,1,1251,1,0,0,0,0,0,0,11,21,0,0,0,0,0,-1,920,71,260
2018020672,8471233,1,1192,0,0,3,1,0,0,0,18,26,1,1,0,0,1,-2,988,65,139
2018020687,8471233,1,1296,0,0,2,0,0,0,0,11,23,0,0,0,0,0,-1,682,278,336
2018020707,8471233,1,1214,2,1,4,0,0,1,0,11,24,0,0,0,0,0,2,887,308,19
2018020713,8471233,1,1122,0,0,0,1,0,0,0,9,17,2,0,0,0,1,0,862,94,166
2018020727,8471233,1,1208,0,0,0,1,0,0,0,9,15,1,0,0,0,0,-1,922,187,99
2018020740,8471233,1,1431,0,0,2,1,0,0,0,10,17,1,0,0,0,0,0,1048,107,276
2018020772,8471233,1,1174,3,1,1,0,0,1,0,16,24,0,0,0,0,1,3,664,297,213
2018020779,8471233,1,1264,0,0,0,1,0,0,0,12,21,2,1,0,0,0,-1,992,107,165
2018020812,8471233,1,1203,0,0,3,0,0,0,0,14,20,2,0,0,0,0,-1,709,184,310
2018020825,8471233,1,981,0,0,1,0,0,0,0,8,11,3,1,0,0,0,0,620,181,180
2018020840,8471233,1,1155,0,0,0,0,0,0,0,12,21,2,0,0,0,0,-1,909,107,139
2018020855,8471233,1,1324,0,0,1,0,0,0,0,19,26,2,1,0,0,1,0,737,342,245
2018020869,8471233,1,1213,0,0,0,1,0,0,0,10,19,0,0,0,0,2,-3,963,128,122
2018020883,8471233,1,969,0,1,4,1,1,0,2,7,17,0,1,0,0,1,-3,607,149,213
2018020890,8471233,1,1302,0,0,1,0,0,0,0,13,23,0,0,0,0,2,0,920,112,270
2018020906,8471233,1,1247,2,0,0,0,0,0,0,11,25,1,0,0,0,1,2,942,201,104
2018020917,8471233,1,1307,1,0,1,1,0,0,0,12,20,1,1,0,0,1,0,1066,119,122
2018020931,8471233,1,985,0,1,3,0,0,0,0,9,11,0,0,0,0,0,3,661,123,201
2018020946,8471233,1,1178,0,0,0,1,0,0,0,8,15,0,3,0,0,0,-4,799,211,168
2018020963,8471233,1,1301,0,0,2,0,0,0,0,13,22,0,0,0,0,1,-1,708,239,354
2018020980,8471233,1,1302,0,0,4,0,0,0,0,14,19,1,1,0,0,0,0,918,271,113
2018020992,8471233,1,1074,1,0,2,1,0,0,0,9,13,1,0,0,0,0,-1,837,184,53
2018021001,8471233,1,1166,0,0,1,2,0,0,0,9,17,0,0,0,0,0,0,1037,14,115
2018021020,8471233,1,1290,0,1,3,0,0,0,2,8,16,0,0,0,0,0,0,1110,58,122
2018021045,8471233,1,1416,0,0,1,1,0,0,0,10,21,1,1,0,0,1,-1,758,215,443
2018021053,8471233,1,1260,1,0,0,3,0,1,0,13,18,0,0,0,0,2,-2,844,327,89
2018021078,8471233,1,1017,0,1,2,2,0,0,0,10,19,0,1,1,0,0,0,896,40,81
2018021081,8471233,1,1081,0,1,1,0,1,0,0,13,17,1,1,0,0,2,1,556,374,151
2018021098,8471233,1,1251,0,0,1,1,0,0,0,11,20,3,0,0,0,0,0,879,318,54
2018021111,8471233,1,1141,0,0,0,0,0,0,0,13,19,1,0,0,0,0,-2,703,173,265
2018021122,8471233,1,1181,0,0,1,0,0,0,0,10,14,0,0,0,0,0,-1,976,73,132
2018021137,8471233,1,1000,0,0,0,0,0,0,2,10,17,1,0,0,0,0,-3,852,90,58
2018021150,8471233,1,1144,0,0,2,1,0,0,0,8,19,0,0,0,0,0,-1,660,105,379
2018021170,8471233,1,940,1,0,0,0,0,1,2,12,17,0,1,0,0,0,0,727,69,144
2018021199,8471233,1,1061,0,0,3,1,0,0,0,7,13,0,5,0,0,0,-1,929,53,79
2018021207,8471233,1,1122,1,0,0,0,0,0,0,5,12,1,3,0,0,1,0,906,72,144
2018021222,8471233,1,1040,1,1,4,2,1,0,0,17,21,1,0,0,0,0,2,706,67,267
2018021247,8471233,1,1181,0,0,1,3,0,0,0,10,18,0,0,0,0,0,-1,831,129,221
2018021262,8471233,1,1213,0,1,1,2,1,0,0,9,18,0,1,0,0,0,-1,736,176,301
2018020013,8470610,30,1038,0,1,4,1,0,0,0,1,2,0,0,0,0,0,0,810,56,172
2018020025,8470610,30,1248,0,0,4,0,0,0,2,1,1,1,0,0,0,0,0,1098,33,117
2018020056,8470610,30,1145,2,0,3,0,0,0,0,0,1,0,0,0,1,1,1,1077,11,57
2018020060,8470610,30,987,2,0,1,0,0,0,0,0,0,0,2,0,0,3,1,676,180,131
2018020077,8470610,30,1125,2,0,4,1,0,1,0,0,0,0,0,0,0,1,1,806,58,261
2018020083,8470610,30,1202,0,0,3,0,0,0,0,0,2,0,0,0,0,2,1,1040,51,111
2018020100,8470610,30,1113,1,1,5,0,0,0,0,0,0,1,0,0,0,5,2,924,80,109
2018020110,8470610,30,1434,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1047,302,85
2018020138,8470610,30,1082,1,0,4,1,0,0,2,0,0,0,0,0,1,0,1,721,168,193
2018020156,8470610,30,1010,0,0,4,2,0,0,0,0,1,0,1,0,0,1,-1,649,127,234
2018020166,8470610,30,1107,0,0,0,2,0,0,2,1,1,0,0,0,0,0,-2,727,70,310
2018020174,8470610,30,1011,0,1,2,2,1,0,0,0,1,1,1,0,0,0,1,807,135,69
2018020201,8470610,30,1000,0,0,5,1,0,0,0,0,1,0,0,0,0,1,0,793,0,207
2018020223,8470610,30,1247,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1062,0,185
2018020235,8470610,30,970,1,1,4,1,0,1,0,0,0,0,0,0,0,0,1,719,101,150
2018020241,8470610,30,1086,0,0,2,1,0,0,0,0,0,0,2,0,0,2,1,746,48,292
2018020253,8470610,30,915,0,1,1,0,0,0,0,0,0,0,1,0,0,2,-1,689,104,122
2018020269,8470610,30,1331,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,926,87,318
2018020294,8470610,30,1056,0,1,3,1,0,0,0,0,0,0,0,0,0,0,-1,908,18,130
2018020305,8470610,30,1074,0,1,4,1,1,0,0,0,0,0,1,0,0,0,-1,840,66,168
2018020327,8470610,30,852,1,0,0,0,0,0,2,0,1,0,0,0,0,3,-2,621,99,132
2018020336,8470610,30,1099,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1,584,143,372
2018020372,8470610,30,1181,0,1,3,0,1,0,0,0,0,1,0,0,0,0,1,1085,38,58
2018020383,8470610,30,1091,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,986,46,59
2018020403,8470610,30,1153,0,0,3,0,0,0,0,0,0,0,0,0,0,2,-1,942,17,194
2018020423,8470610,30,1006,0,1,3,0,1,0,0,0,0,1,1,0,0,2,-1,834,97,75
2018020435,8470610,30,1364,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,936,144,284
2018020442,8470610,30,987,1,0,4,0,0,0,0,0,0,0,1,0,0,1,-3,842,0,145
2018020472,8470610,30,1100,2,1,3,1,1,1,0,0,0,1,0,0,0,0,1,868,31,201
2018020484,8470610,30,1032,1,1,2,0,0,0,0,0,0,0,0,0,0,1,4,991,41,0
2018020495,8470610,30,1364,0,0,3,0,0,0,2,0,0,0,0,0,0,0,-1,970,63,331
2018020521,8470610,30,905,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-2,901,4,0
2018020533,8470610,30,1008,0,0,4,0,0,0,0,0,0,1,0,0,0,1,-1,847,94,67
2018020556,8470610,30,1253,0,0,4,1,0,0,2,0,0,0,1,0,0,1,-1,971,80,202
2018020575,8470610,30,1230,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,921,92,217
2018020584,8470610,30,932,2,0,2,0,0,0,0,0,1,0,0,0,0,2,2,807,125,0
2018020603,8470610,30,1125,0,1,5,3,0,0,0,0,0,0,0,0,0,1,0,1049,21,55
2018020621,8470610,30,1039,1,1,5,0,0,0,0,0,1,0,1,0,0,1,2,918,56,65
2018020637,8470610,30,1040,2,1,1,2,0,0,0,0,0,0,0,0,0,0,3,849,0,191
2018020654,8470610,30,1215,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,913,44,258
2018020657,8470610,30,990,0,0,2,1,0,0,2,0,0,1,0,0,0,1,-1,821,0,169
2018020678,8470610,30,967,1,0,2,0,0,0,0,0,0,1,0,0,0,2,1,708,166,93
2018020693,8470610,30,1015,1,0,2,0,0,0,0,0,0,0,0,0,0,0,-2,759,119,137
2018020708,8470610,30,1050,1,0,4,0,0,0,0,0,0,1,1,0,0,0,-2,797,141,112
2018020717,8470610,30,1165,0,0,6,0,0,0,0,0,0,2,0,0,0,1,-2,966,41,158
2018020731,8470610,30,1116,0,0,11,0,0,0,0,0,0,2,0,0,0,0,-1,853,50,213
2018020748,8470610,30,1064,0,1,4,1,0,0,2,1,1,0,0,0,0,0,1,716,109,239
2018020757,8470610,30,1081,1,0,1,2,0,0,0,0,0,1,1,0,0,3,1,853,75,153
2018020767,8470610,30,1070,1,0,3,1,0,0,0,0,2,0,0,0,0,0,0,634,60,376
2018020788,8470610,30,1002,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,885,17,100
2018020799,8470610,30,1243,1,0,2,2,0,0,0,0,0,1,1,0,0,0,0,874,185,184
2018020810,8470610,30,1320,0,1,10,0,0,0,0,0,1,0,2,0,0,0,2,1121,52,147
2018020833,8470610,30,1250,0,0,1,0,0,0,0,0,0,1,1,0,0,0,-2,1067,32,151
2018020840,8470610,30,1257,0,1,5,2,1,0,0,0,0,1,2,0,0,1,0,1023,67,167
2018020856,8470610,30,1352,1,0,1,1,0,1,0,0,0,0,0,0,0,2,-1,1028,176,148
2018020871,8470610,30,1452,0,1,4,3,1,0,2,0,0,1,0,0,0,0,-1,925,87,440
2018020890,8470610,30,1291,0,0,5,1,0,0,2,0,1,1,0,0,0,1,-1,1110,70,111
2018020905,8470610,30,1182,0,0,3,0,0,0,2,0,0,0,1,0,0,4,0,715,90,377
2018020922,8470610,30,1242,0,0,1,0,0,0,0,0,0,0,0,0,0,3,-1,970,14,258
2018020932,8470610,30,856,1,1,2,0,0,0,0,0,1,0,1,0,0,1,2,767,44,45
2018020941,8470610,30,1024,1,0,1,1,0,1,0,0,0,0,0,0,0,2,0,853,45,126
2018020960,8470610,30,1382,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1088,50,244
2018020976,8470610,30,1087,1,0,5,0,0,0,2,2,3,0,0,0,0,3,1,911,43,133
2018021015,8470610,30,1201,0,0,2,0,0,0,0,1,3,0,0,0,0,1,0,1040,42,119
2018021024,8470610,30,1075,1,0,2,1,0,0,0,0,2,0,1,0,0,0,-1,885,0,190
2018021037,8470610,30,1168,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,759,101,308
2018021044,8470610,30,894,0,0,1,2,0,0,0,0,1,0,0,0,0,2,-4,707,33,154
2018021068,8470610,30,1039,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,795,69,175
2018021088,8470610,30,1115,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-2,997,59,59
2018021108,8470610,30,1084,1,0,5,2,0,1,2,1,3,0,0,0,0,2,-1,843,0,241
2018021113,8470610,30,1393,0,1,2,1,1,0,0,0,1,0,1,0,0,0,0,845,45,503
