milservice,msndate,valid_aircraft_root,missionid,tgttype,resultsbda,VALIDATED_ROOT,AIRCRAFT_APPLICATION
USAF,1970-11-25,F-4,1407,AAA\37MM  CR MORE,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1971-09-09,F-4,5934,SAMPANS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-04-02,A-37,E010,TRENCH,DESTROYED,A-37,ATTACK
USAF,1972-08-09,A-37,6262,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1972-09-13,A-37,6221,FOX HOLES,DAMAGED,A-37,ATTACK
VNAF,1972-10-05,A-1,D323,AA SITE,DESTROYED,A-1,FIGHTER
USAF,1971-03-13,F-4,5960,23MM GUN SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1973-03-18,AC-130,6531,TRUCKS,DAMAGED,AC-130,ATTACK
VNAF,1970-12-25,A-1,D386,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1972-09-14,A-37,C206,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1970-12-01,A-37,E657,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1973-05-08,F-4,6800,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1971-09-30,F-5,D353,FOX HOLES,DESTROYED,F-5,FIGHTER
VNAF,1971-10-11,A-1,D308,TRENCH,DESTROYED,A-1,FIGHTER
VNAF,1972-02-01,A-37,E442,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-03-19,A-37,E415,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1973-01-13,F-4,7093,105MM GUN SITE,DAMAGED,F-4,"FIGHTER, BOMBER"
RAAF,1970-05-30,B-57,5012,FOX HOLES,DESTROYED,B-57,"TACTICAL, BOMBER"
RLAF,1970-10-19,T-28,7803,TRUCKS,DESTROYED,T-28,TRAIN
USAF,1971-04-29,F-4,5705,LANDING ZONE PREP,OBSERVED,F-4,"FIGHTER, BOMBER"
USAF,1973-03-19,A-7,6822,TRUCKS,DESTROYED,A-7,ATTACK
USAF,1970-01-24,F-4,0546,AAA\37MM  CR MORE,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-05-17,F-4,5817,MORTAR SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-07-10,F-4,7133,BULLDOZER,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1973-01-12,A-37,E406,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1971-04-02,F-4,0464,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1971-02-28,A-37,B533,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1971-11-14,A-37,E442,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1971-12-02,F-4,8674,BRIDGES,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-12-04,A-7,6055,FOX HOLES,DAMAGED,A-7,ATTACK
